Name,Type,District,Latitude,Longitude,Review,Telephone,Operation Hour,Entrance Fee,Category
Buddha Baring (Wat Photivihan),Visit,Tumpat,6.130028,102.137472,4.3,Not Available,Not Available,Not Available,Temple
Buddha Duduk (Wat Machimmaram),Visit,Tumpat,6.186194,102.108639,4.4,Not Available,Not Available,Not Available,Temple
Dragon Boat Temple (Wat Maisuwankiri),Visit,Tumpat,6.178,102.188028,4.5,09-7257673,Not Available,Not Available,Temple
Muzium Wau,Visit,Tumpat,6.224833,102.116361,3.9,09-7252224,8.30am-4.45pm (kecuali Jumaat),RM 1.00 (Malaysian) RM 2.00 (Non-Malaysian),Museum
Pantai Sri Tujuh,Visit,Tumpat,6.224833,102.116361,4,Not Available,Not Available,Not Available,Beach
Taman Negara Kuala Koh,Visit,Gua Musang,4.870111,102.439972,4.1,013-7306459,Not Available,RM 1.00,Nature
Tokong Swee Nyet Kong (Tokong Mek),Visit,Gua Musang,4.790778,101.944139,4.5,Not Available,Not Available,Not Available,Temple
Gunung Stong,Visit,Kuala Krai,5.339583,101.975056,4.6,019-9591020,Not Available,RM 7.00,Nature
Gua Ikan,Visit,Kuala Krai,5.837972,102.242528,4.1,09-9126366,Not Available,Not Available,Nature
Kolam Air Panas Tok Bok,Visit,Machang,5.354722,102.026944,3.9,09-9751076,8.00am-7.00pm,Not Available,Nature
Tasik Pergau,Visit,Jeli ,5.837972,102.242528,4,09-9121788,Not Available,Not Available,Nature
Pantai Irama,Visit,Bachok,5.613972,101.685889,3.7,Not Available,Not Available,Not Available,Beach
Pusat Beli belah Bukit Bunga,Visit,Tanah Merah,6.067583,102.39975,3,Not Available,Not Available,Not Available,Shopping
Lata Hujan malaysia,Visit,Tanah Merah,5.83779,101.903346,3.5,Not Available,Not Available,Not Available,Nature
Jambatan Guillemard,Visit,Tanah Merah,5.803762,102.146411,4.3,Not Available,Not Available,Not Available,Nature
Pantai Tok Bali,Visit,Pasir Puteh,5.762281,102.145931,3.8,Not Available,Not Available,Not Available,Beach
Jeram Pasu,Visit,Pasir Puteh,5.89762,102.474039,3.5,Not Available,Not Available,Not Available,Nature
Restoran Nasi Ulam Cikgu,Eat,Kota Bharu,5.794419,102.336724,4.1,Not Available,Not Available,Not Available,Halal Local Delicacies
Mat Salleh Burger ,Eat,Kota Bharu,6.1171063,102.2354355,4,Not Available,Not Available,Not Available,Halal Western
Nasi Kukus Abe Mie ,Eat,Kota Bharu,6.111027,102.252647,4.2,Not Available,Not Available,Not Available,Halal Local Delicacies
Kedai Nasi Sumatera ,Eat,Kota Bharu,6.196709,102.168857,Not Available,Not Available,Not Available,Not Available,Halal Local Delicacies
Maggi Ketam Indra Tomyam ,Eat,Kota Bharu,6.122073,102.226635,3.5,Not Available,Not Available,Not Available,Halal Asian Fusion
Kopitiam Kita  ,Eat,Kota Bharu,6.121515,102.20124,4.3,Not Available,Not Available,Not Available,Halal Local Delicacies
Nasi Lemak Kopi-O 1 PAGI ,Eat,Kota Bharu,6.199801,102.171686,4.3,Not Available,Not Available,Not Available,Halal Local Delicacies
Warung Milo Tunggeng ,Eat,Kota Bharu,6.153817,102.157101,4.4,Not Available,Not Available,Not Available,Halal Local Delicacies
Nasi Kak Wok ,Eat,Kota Bharu,5.8631717,102.4877322,4.1,Not Available,Not Available,Not Available,Halal Local Delicacies
Warung Pak Mat Pulau Pisang,Eat,Kota Bharu,6.129493,102.24939,4.2,Not Available,Not Available,Not Available,Halal Local Delicacies
Four Seasons Restaurant,Eat,Kota Bharu,5.973066,102.250112,4.1,Not Available,Not Available,Not Available,Halal Asian Fusion
Bubble Ice Caf?,Eat,Kota Bharu,6.102786,102.280816,Not Available,Not Available,Not Available,Not Available,Halal Western
Traudi Pizzeria ,Eat,Kota Bharu,6.120431,102.242814,Not Available,Not Available,Not Available,Not Available,Halal Western
Keng Som Thai Restaurant ,Eat,Kota Bharu,5.809395,102.147472,4,Not Available,Not Available,Not Available,Halal Asian Fusion
Joe & Pepper Restaurant,Eat,Kota Bharu,6.029785,102.141239,Not Available,Not Available,Not Available,Not Available,Halal Western
Pantai Cahaya Bulan,Eat,Kota Bharu,6.102594,102.257802,3.8,Not Available,Not Available,Not Available,Halal Local Delicacies
Restoran Hover ,Eat,Kota Bharu,6.182884,102.245853,4.1,Not Available,Not Available,Not Available,Halal Western
Pasar Besar Siti Khadijah,Eat,Kota Bharu,6.184534,102.167036,4.1,Not Available,Not Available,Not Available,Hala Local Delicacies
Oriental Kopitiam ,Eat,Kota Bharu,6.188783,102.106325,3.8,Not Available,Not Available,Not Available,Halal Asian Fusion
Restoran Capital,Eat,Kota Bharu,6.124085,102.202956,3.5,Not Available,Not Available,Not Available,Halal Asian Fusion
Kedai Kopi White House ,Eat,Kota Bharu,6.1122657,102.1939391,4.1,Not Available,Not Available,Not Available,Halal Local Delicacies
Yati Ayam Percik,Eat,Kota Bharu,6.130212,102.247394,3.9,Not Available,Not Available,Not Available,Halal Local Delicacies
Meena Curry House,Eat,Kota Bharu,6.13464,102.235742,3.9,Not Available,Not Available,Not Available,Halal Asian Fusion
Serunding Kg Laut & Rempah Kelantan,Eat,Kota Bharu,6.132053,102.247369,4,Not Available,Not Available,Not Available,Halal Local Delicacies
Kamariah Nasi Kerabu,Eat,Kota Bharu,6.130405,102.236011,Not Available,Not Available,Not Available,Not Available,Halal Local Delicacies
Restoran By-T Laksam ,Eat,Kota Bharu,6.140703,102.245401,3.9,Not Available,Not Available,Not Available,Halal Local Delicacies
Ulang Corner ,Eat,Kota Bharu,6.129102,102.246309,4.3,Not Available,Not Available,Not Available,Non Halal Asian Fusion
Foh Cheong Chinese Restaurant ,Eat,Kota Bharu,6.196566,102.273658,2,Not Available,Not Available,Not Available,Non Halal Asian Fusion
Ayam Percik Kak Jah Bulatan Lemal,Eat,Pasir Mas,6.125917,102.238611,4.1,Not Available,Not Available,Not Available,Halal Local Delicacies
Pasar Besar Tumpat ,Eat,Tumpat,6.131082,102.238864,4.1,Not Available,Not Available,Not Available,Halal Local Delicacies
Pasar Segar Bunohan KADA,Eat,Tumpat,6.128697,102.240361,3.9,Not Available,Not Available,Not Available,Halal Local Delicacies
Kedai Mee Cambo Kak Za,Eat,Tumpat,6.131013,102.234875,3.7,Not Available,Not Available,Not Available,Halal Local Delicacies
Warung Makan Sunie ,Eat,Tumpat,6.11713,102.235881,Not Available,Not Available,Not Available,Not Available,Non Halal Asian Fusion
Nasi Kerabu Mea Thong atau Mek Mas Nasi Kerabu,Eat,Tumpat,6.128545,102.256664,4.2,Not Available,Not Available,Not Available,Non Halal Local Delicacies
Satay Wakaf Bharu Hj. Jafar,Eat,Kota Bharu,6.128787,102.235612,3.3,Not Available,Not Available,Not Available,Halal Local Delicacies
Restaurant Cheng Mai,Eat,Kota Bharu,6.143175,102.240899,Not Available,Not Available,Not Available,Not Available,Non Halal Asian Fusion
Restaurant Kg. Kulim,Eat,Kota Bharu,6.131244,102.235165,4.3,Not Available,Not Available,Not Available,Non Halal Asian Fusion
Nasi Beriyani Ayam Goreng Shareena,Eat,Tanah Merah,6.231947,102.091519,Not Available,Not Available,Not Available,Not Available,Halal Asian Fusion
Roti Tempayan Tandoori Belimbing,Eat,Tanah Merah,6.148854,102.314898,Not Available,Not Available,Not Available,Not Available,Halal Asian Fusion
Alemy Meggi Ketam,Eat,Pasir Puteh,5.843056,102.160639,4.1,Not Available,Not Available,Not Available,Halal Asian Fusion
Homestay Seterpa,Stay,Kota Bharu,6.031944,102.296917,4,Not Available,Not Available,Not Available,Not Available
The Grand Renai,Stay,Kota Bharu,6.113583,102.2495,4.2,Not Available,Not Available,Not Available,Not Available
Grand Riverview Hotel,Stay,Kota Bharu,6.129167,102.234083,4.1,Not Available,Not Available,Not Available,Not Available
Holiday Villa Hotel & Suites Kota Bharu,Stay,Kota Bharu,6.0875,102.238806,3.8,Not Available,Not Available,Not Available,Not Available
Tune Hotel,Stay,Kota Bharu,6.116917,102.239389,3.2,Not Available,Not Available,Not Available,Not Available
Jewel Hotel,Stay,Kota Bharu,6.125889,102.2395,3.9,Not Available,Not Available,Not Available,Not Available
Hotel Ani,Stay,Pasir Mas,6.012583,101.97375,3.3,Not Available,Not Available,Not Available,Not Available
D'Sungai Homestay Rantau Panjang Kelantan,Stay,Pasir Mas,6.012944,101.972639,5,Not Available,Not Available,Not Available,Not Available
Homestay Kg Bagus,Stay,Pasir Mas,6.003111,101.974611,3.7,Not Available,Not Available,Not Available,Not Available
Nur Inn,Stay,Pasir Mas,6.025556,101.981389,3.9,Not Available,Not Available,Not Available,Not Available
Sufi Aidura Homestay Rantau Panjang,Stay,Pasir Mas,6.007194,101.993028,3.8,Not Available,Not Available,Not Available,Not Available
Homestay Pantai Suri,Stay,Tumpat,6.216,102.216528,3.4,Not Available,Not Available,Not Available,Not Available
The Maena Water Chalets,Stay,Tumpat,6.23225,102.097361,4.3,Not Available,Not Available,Not Available,Not Available
AL-HUSNA ANGGUN HOMESTAY,Stay,Tumpat,6.133889,102.129667,3.8,Not Available,Not Available,Not Available,Not Available
Senangin Resort  & Café,Stay,Tumpat,6.214583,102.127417,3.7,Not Available,Not Available,Not Available,Not Available
D'Geting Beach Resort,Stay,Tumpat,6.223833,102.118139,3.5,Not Available,Not Available,Not Available,Not Available
Chalet Pantai Sri Tujuh,Stay,Tumpat,6.217528,102.127361,3.5,Not Available,Not Available,Not Available,Not Available
Homestay Batu Papan,Stay,Gua Musang,4.860056,101.963361,Not Available,Not Available,Not Available,Not Available,Not Available
Welcome Inn GM,Stay,Gua Musang,4.888333,101.9755,3.8,Not Available,Not Available,Not Available,Not Available
GM Villa,Stay,Gua Musang,4.894833,101.978194,4.1,Not Available,Not Available,Not Available,Not Available
Family's Homestay Gua Musang,Stay,Gua Musang,4.846028,101.964028,3.9,Not Available,Not Available,Not Available,Not Available
Homestay Kak Dah Jelawang,Stay,Kuala Krai,5.348889,101.993417,2.4,Not Available,Not Available,Not Available,Not Available
Ponik Guesthouse,Stay,Kuala Krai,5.339028,101.977417,5,Not Available,Not Available,Not Available,Not Available
Stong Heritage Eco Resort,Stay,Kuala Krai,5.337722,101.977806,5,Not Available,Not Available,Not Available,Not Available
Aneesa Guesthouse Stong,Stay,Kuala Krai,5.357639,101.976583,3.8,Not Available,Not Available,Not Available,Not Available
Homestay jelawang,Stay,Kuala Krai,5.3415,101.982306,4,Not Available,Not Available,Not Available,Not Available
Homestay Kemuchup,Stay,Machang,5.698611,102.191472,Not Available,Not Available,Not Available,Not Available,Not Available
Zara Homestay,Stay,Machang,5.772944,102.223444,4,Not Available,Not Available,Not Available,Not Available
Kok Lanas Homestay (KLH),Stay,Machang,5.913056,102.234444,3.9,Not Available,Not Available,Not Available,Not Available
aAdy Homestay,Stay,Machang,5.910306,102.236194,3,Not Available,Not Available,Not Available,Not Available
Humaira Hotel,Stay,Machang,5.805778,102.147694,3.9,Not Available,Not Available,Not Available,Not Available
Homestay Bukit Jering,Stay,Jeli ,5.480556,101.902639,3.7,Not Available,Not Available,Not Available,Not Available
KESEDAR Chalet,Stay,Jeli ,5.613972,101.685889,3.6,Not Available,Not Available,Not Available,Not Available
Homestay Kubang Telaga,Stay,Bachok,5.991389,102.3685,4,Not Available,Not Available,Not Available,Not Available
Gelora Beach Resort,Stay,Bachok,6.104556,102.382556,3.8,Not Available,Not Available,Not Available,Not Available
ALA Beach Lodge,Stay,Bachok,6.101972,102.383389,4.4,Not Available,Not Available,Not Available,Not Available
Seri Nipah Resort,Stay,Bachok,6.043278,102.409167,3.5,Not Available,Not Available,Not Available,Not Available
Tanjung Chap Beach Resort,Stay,Bachok,6.033556,102.414056,3.6,Not Available,Not Available,Not Available,Not Available
Homestay Blok Ulu Kusial,Stay,Tanah Merah,5.809005,102.148003,4,Not Available,Not Available,Not Available,Not Available
Tok Aman Bali Beach Resort,Stay,Pasir Puteh,5.865694,102.512306,3.9,Not Available,Not Available,Not Available,Not Available
Hotel Mar,Stay,Pasir Puteh,5.839139,102.37725,3.6,Not Available,Not Available,Not Available,Not Available
